id,prompt,difficulty,category
638,I have a table with overlapping date ranges and I need to query periods where there's no coverage. How would I identify gaps in the timeline using SQL without writing complex application logic?,medium,databases & SQL
639,Can you help me design a schema for a multi-tenant SaaS application in PostgreSQL? I'm debating between a shared schema with tenant_id columns versus separate schemas per tenant.,medium,databases & SQL
640,"I need to implement full-text search on a large news articles table with relevance ranking. What's better - native PostgreSQL full-text search, Elasticsearch integration, or a third-party search engine?",medium,databases & SQL
641,How do I audit changes to critical tables in PostgreSQL by capturing before and after values for every update and delete? Should I use triggers or a CDC tool like Debezium?,medium,databases & SQL
642,"We have a recommendation engine that queries the database thousands of times per second to find similar products. Should I denormalize data into a cache table, use materialized views, or implement Redis caching?",medium,databases & SQL
643,I'm implementing pagination on a large result set but the offset becomes slow as the page number grows. How do I use keyset pagination instead to maintain performance?,medium,databases & SQL
644,Can you help me write a query that identifies duplicate customer records based on fuzzy matching of names and emails? We need to merge these records without losing transaction history.,medium,databases & SQL
645,"I need to export 50GB of data from our production database to a data warehouse natively without killing performance. What's the best approach - direct export, incremental sync, or streaming?",medium,databases & SQL
646,How do I implement a feature where users can only see data they have permission to access using row-level security in PostgreSQL? We have different permission levels and data sensitivity classifications.,medium,databases & SQL
647,"We're experiencing memory issues with a stored procedure that processes millions of records. Should I refactor to use batch processing, cursors with streaming, or convert to a set-based approach?",medium,databases & SQL
648,I have a denormalized fact table and I need to rebuild it from source tables every night. What's the most efficient way to refresh the data without downtime using staging tables and atomic swaps?,medium,databases & SQL
649,Can you help me diagnose why a query that worked fine yesterday is now taking 10x longer? How do I investigate query plan changes and stale statistics in PostgreSQL?,medium,databases & SQL
650,"I'm building a notification system that tracks which messages each user has read. Should I use a junction table with a timestamp, a boolean flag in the messages table, or a separate read_receipts table? What are the performance implications?",medium,databases & SQL
651,How do I handle time zone conversions correctly when storing and querying timestamps across multiple regions? Should I always store UTC and convert on retrieval?,medium,databases & SQL
652,I'm building a search filter for an e-commerce platform where users can filter products by multiple attributes with OR and AND combinations. How do I structure the SQL query efficiently to avoid N+1 problems when dealing with hundreds of thousands of products and thousands of attribute combinations?,medium,databases & SQL
653,"We have a reporting dashboard that needs to calculate YoY growth rates across different product lines, but the query is complex with multiple self-joins and window functions. Can you help me optimize it using CTEs and materialized views to reduce execution time from 2 minutes to under 5 seconds?",medium,databases & SQL
654,"How do I implement a shopping cart system in SQL where items can expire after a certain duration and I need to automatically clean them up? Should I use triggers, a scheduled job, or a timestamp-based query approach?",medium,databases & SQL
655,"I need to track inventory across multiple warehouses with real-time stock levels that get updated frequently. What's the best schema design to handle concurrent updates without race conditions, and should I use locks or a queue-based approach?",medium,databases & SQL
656,Can you help me debug why my UPDATE query with a subquery is modifying way more rows than expected? I think there's an issue with how my JOIN condition is being applied in the UPDATE statement.,medium,databases & SQL
657,We're migrating from MongoDB to PostgreSQL and I need to normalize a collection that has deeply nested documents. How do I design the schema to maintain referential integrity while querying nested data efficiently?,medium,databases & SQL
658,I have a budget forecasting query that needs to calculate cumulative spending with running totals across multiple fiscal periods. What's the best way to use window functions to avoid scanning the entire table multiple times?,medium,databases & SQL
659,"How do I create an efficient stored procedure that bulk inserts 100,000 records per batch while handling duplicates gracefully? Should I use MERGE, INSERT INTO ... ON CONFLICT, or check existence first?",medium,databases & SQL
660,I'm trying to implement a comment threading system where comments have replies and replies can have sub-replies. What's the best way to query a full thread with proper ordering and nesting without recursive queries?,medium,databases & SQL
661,"We need to implement expiring promotions in our sales table where records should be automatically marked inactive after a date. Should I use a trigger, a constraint with a check condition, or application-level logic?",medium,databases & SQL
662,Can you help me design a database schema for tracking user activity timelines efficiently? I need to query user actions grouped by day/hour with high cardinality data across millions of users.,medium,databases & SQL
663,I have a data quality issue where certain foreign key relationships are inconsistent due to a failed migration. How do I write a query to find orphaned records and then safely clean them up without breaking dependent data?,medium,databases & SQL
664,How do I implement version control for configuration data in SQL where I need to track changes over time and be able to query what settings were active at a specific point in the past?,medium,databases & SQL
665,We're building a recommendation engine that needs to find users with similar purchase patterns. What's an efficient SQL approach to calculate similarity scores without loading all data into memory?,medium,databases & SQL
666,"I need to consolidate data from three separate databases with different schemas into a single unified view. What are the trade-offs between using foreign data wrappers, ETL jobs, or a hybrid approach?",medium,databases & SQL
667,How do I optimize a monthly reconciliation report that compares ledger entries against bank statements and flags discrepancies? The query has to handle thousands of transactions efficiently.,medium,databases & SQL
668,Can you help me implement a feature where admin users can see a filtered view of data while regular users see a different subset? Should I use database views with row-level security or handle filtering in the application layer?,medium,databases & SQL
669,"I have a Node.js Express API that's timing out when querying a large dataset—I'm doing a JOIN across 3 tables with nested filters, but it's taking 30+ seconds. Can you help me optimize the query and maybe add some caching strategy?",medium,debugging & error fixing
670,"My Python FastAPI endpoint keeps returning 500 errors intermittently when concurrent requests hit it. I think there's a race condition in my SQLAlchemy session handling, but I can't pinpoint it. Any ideas on debugging this?",medium,debugging & error fixing
671,"I'm trying to implement JWT token refresh logic in my React/Node stack, but the refresh token rotation isn't working properly—users are getting logged out randomly even though their token should have renewed. What am I missing?",medium,debugging & error fixing
672,My GraphQL resolver is N+1 querying the database like crazy when fetching nested relations. I tried adding DataLoader but it's still slower than expected—should I be batching differently?,medium,debugging & error fixing
673,"We're getting memory leaks in our Electron app when switching between views. I suspect it's event listeners not being cleaned up, but my profiler logs aren't giving me enough detail. How would you approach tracking this down?",medium,debugging & error fixing
674,My WebSocket connection keeps dropping after exactly 5 minutes on certain networks. I've added ping/pong handlers but the issue persists. Could this be a load balancer or proxy timeout thing?,medium,debugging & error fixing
675,"I have a React component that's re-rendering excessively and killing performance on mobile. I've memoized props and used useCallback, but it's still sluggish. Is there something I'm missing with the dependency arrays?",medium,debugging & error fixing
676,Our PostgreSQL query is throwing a deadlock error only under load. The transaction isolation level is already set to READ_COMMITTED. How do I redesign the query to avoid this deadlock pattern?,medium,debugging & error fixing
677,I'm implementing OAuth2 flow and the state parameter validation keeps failing in production but works locally. Is this a session handling issue or something with my redirect URI matching?,medium,debugging & error fixing
678,"My Kubernetes pod keeps crashing with an OOMKilled status. The app works fine locally, but under load in prod it's exceeding memory limits. Where should I start investigating the memory leak?",medium,debugging & error fixing
679,"I have a complex regex that's causing catastrophic backtracking on certain user inputs, freezing the server. Can you help me rewrite it to be more efficient or suggest an alternative parsing approach?",medium,debugging & error fixing
680,"The CSV import in my Spring Boot app is slow and occasionally corrupts data when rows are malformed. I need a robust way to validate, parse, and handle errors—should I use a streaming approach?",medium,debugging & error fixing
681,"My Docker build is inconsistent—sometimes the image works, sometimes it fails with network errors during dependency installation. Is this a caching issue or should I be pinning versions differently?",medium,debugging & error fixing
682,I'm trying to debug a CORS issue where preflight requests are succeeding locally but failing in production behind a reverse proxy. Any ideas why OPTIONS requests might be blocked?,medium,debugging & error fixing
683,My Mongo aggregation pipeline is brutal on performance with large datasets. The $lookup stage is creating Cartesian products and I'm not sure how to restructure it. Any tips on optimization?,medium,debugging & error fixing
684,I keep getting 'too many open files' errors in my Node app despite closing connections properly. Could there be a resource leak in my middleware stack or should I raise the ulimit?,medium,debugging & error fixing
685,My Vue.js app is sluggish with complex list rendering—I tried virtual scrolling but it didn't help much. Should I be suspending updates differently or is this a Vite build optimization issue?,medium,debugging & error fixing
686,I'm implementing rate limiting but legitimate traffic spikes are being blocked because I can't distinguish them from DDoS. How do I design a smarter rate limiter that adapts to normal usage patterns?,medium,debugging & error fixing
687,"My Lambda function works locally but times out in AWS consistently, even with increased memory allocation. Is this a cold start issue or something wrong with my async code structure?",medium,debugging & error fixing
688,"We're getting random 'connection reset' errors from our Redis cluster, but only certain clients are affected. Could this be a Lua script hanging or a network partitioning issue?",medium,debugging & error fixing
689,"I have a Webpack bundle that's grown to 2MB and lazy loading isn't cutting it. Should I split vendors differently, or is there dead code somewhere that my tree-shaking isn't catching?",medium,debugging & error fixing
690,My TypeScript generics are causing circular type dependencies that break my build. I've tried using conditional types and utility types but the compiler still complains. How do I refactor this?,medium,debugging & error fixing
691,The stored procedure I wrote is deadlocking with concurrent updates to the same rows. Adding NOLOCK isn't an option because I need consistent reads. What's the best way to serialize this safely?,medium,debugging & error fixing
692,My gRPC service is experiencing latency spikes intermittently. The Prometheus metrics don't show obvious bottlenecks. Should I be tuning connection pooling or is this a protobuf serialization issue?,medium,debugging & error fixing
693,I'm trying to parse deeply nested JSON objects recursively but hitting stack overflow errors on very large documents. Should I convert to iterative traversal or stream the parsing?,medium,debugging & error fixing
694,My TypeScript service suddenly started throwing 'Cannot find module' errors at runtime even though the imports resolve fine during compilation. I think it's a module resolution mismatch between tsconfig and the built output.,medium,debugging & error fixing
695,"We have a legacy .NET API endpoint that's throwing intermittent SqlTimeoutException when multiple clients hit it simultaneously. The query itself is indexed, but it seems to be blocking under concurrency—how do I diagnose lock contention?",medium,debugging & error fixing
696,My Rust async code deadlocks when two coroutines try to acquire locks in different orders. I've tried using tokio::sync::Mutex but can't figure out the proper lock ordering strategy to prevent this.,medium,debugging & error fixing
697,"The Elasticsearch query I wrote works perfectly in the test environment but returns stale data in production. I suspect it's a shard routing or refresh interval issue, but the settings look identical across environments.",medium,debugging & error fixing
698,"My Android app is crashing with a TransactionTooLargeException when passing data between Fragments, even though the Bundle size looks small. Could this be a memory pressure issue or something wrong with how I'm serializing objects?",medium,debugging & error fixing
699,I'm getting strange behavior with my SQL Server full-text search—it stops working after a few hours without any obvious errors. Is this a service restart issue or could corruption in the full-text index be the cause?,medium,debugging & error fixing
700,Our API suddenly started rejecting valid requests with a 413 Payload Too Large error after scaling horizontally. The payload is the same size as before. Could the load balancer be setting stricter limits or is this a proxy buffering issue?,medium,debugging & error fixing
701,My React Native app works great on iOS but crashes immediately on Android with a null pointer exception in the native bridge. The error logging isn't telling me which function is failing—how do I debug this more effectively?,medium,debugging & error fixing
702,"I have a batch processing job that randomly fails partway through with no clear error message. The logs show it completed successfully last time with the same data, so it's not deterministic. Where would you start investigating flaky tests like this?",medium,debugging & error fixing
703,"My Kafka consumer keeps rebalancing every 30 seconds, causing duplicate message processing. I've increased session timeout but the issue persists—could it be GC pauses or network latency causing the consumer to appear dead?",medium,debugging & error fixing
704,"The SSL certificate validation in my Java app is mysteriously failing only for one specific customer's domain, even though it's a valid cert signed by a major CA. Could this be a certificate chain issue or a Java keystore problem?",medium,debugging & error fixing
705,My Flask application is returning different results when the same query is run in different worker processes. I suspect there's shared state or thread-local data that isn't being isolated properly between workers.,medium,debugging & error fixing
706,"We're experiencing intermittent 504 Gateway Timeout errors from our CDN edge servers, but the origin server logs show the requests never arrived. Could the CDN be timing out the connection prematurely?",medium,debugging & error fixing
707,My Go program's goroutines are leaking memory over time—I can see the number climbing in pprof but can't identify which goroutines aren't terminating. How do I track down lingering goroutines?,medium,debugging & error fixing
708,"The multi-region replication in my DynamoDB table is mysteriously slow sometimes, adding 2-3 seconds of latency to writes. Is this a hot partition issue or should I investigate the replication stream configuration?",medium,debugging & error fixing
709,"I'm implementing client-side validation in my web form using JavaScript, but the server is still receiving invalid data from some users. Are they bypassing my validation or is there an edge case I'm not handling?",medium,debugging & error fixing
710,"My Postgres connection pool keeps exhausting available connections during peak traffic even though most queries complete quickly. Should I reduce the pool size and rely on queueing, or is there a connection leak somewhere?",medium,debugging & error fixing
711,I need to set up a multi-stage Docker build for our Node.js microservice that reduces the final image size and implements proper health checks. Can you help me create an optimized Dockerfile with separate build and runtime stages?,medium,DevOps & CI/CD
712,We're experiencing intermittent CI/CD pipeline failures due to flaky tests in our integration suite. How would you approach debugging and fixing race conditions in our GitHub Actions workflows that run database migrations in parallel?,medium,DevOps & CI/CD
713,"I need to implement a GitOps workflow using ArgoCD where our staging and production environments automatically deploy on git pushes to specific branches, but with required manual approval gates for prod. What's the best way to structure this?",medium,DevOps & CI/CD
714,Our Kubernetes cluster is running out of memory during peak hours. Can you help me implement horizontal pod autoscaling based on custom metrics and set up proper resource requests/limits for our services?,medium,DevOps & CI/CD
715,I'm trying to set up distributed tracing across our microservices using Jaeger. How do I instrument our Go services to capture trace spans and correlate them across service boundaries?,medium,DevOps & CI/CD
716,We have a Jenkins pipeline that's taking 45 minutes to run and we need to parallelize the test stages without breaking dependencies. What strategy would you recommend for splitting our test suite?,medium,DevOps & CI/CD
717,I need to implement secret rotation for our database credentials in AWS that rotates keys every 30 days and automatically updates our deployed services. Should I use Secrets Manager with EventBridge or a different approach?,medium,DevOps & CI/CD
718,Our Terraform infrastructure code is getting unwieldy and we're having state conflicts when multiple team members deploy simultaneously. How should we refactor this with remote state locking and module organization?,medium,DevOps & CI/CD
719,I'm debugging why our Prometheus metrics aren't being scraped correctly from one of our services. The service is discoverable but scrape attempts are timing out - where should I look?,medium,DevOps & CI/CD
720,We need to implement blue-green deployments in our Kubernetes cluster with automatic rollback if the new version's error rate exceeds 5%. Can you show me how to set this up with Flagger?,medium,DevOps & CI/CD
721,I'm trying to optimize our PostgreSQL queries as they're becoming the bottleneck in our deployment pipeline's data migration step. How would you approach identifying and fixing slow queries during large-scale migrations?,medium,DevOps & CI/CD
722,"We want to implement a canary deployment strategy where 10% of traffic goes to the new service version initially, ramping up to 100% over 30 minutes if metrics look good. What tools and configuration would you suggest?",medium,DevOps & CI/CD
723,Our cloud bills are spiking because of underutilized spot instances. How can I set up cost optimization policies in Terraform and add automated alerts when we exceed budget thresholds?,medium,DevOps & CI/CD
724,I need to debug why SSL certificate renewal is failing in our Kubernetes cluster using cert-manager. The certificates expire in 3 days and the renewal webhooks seem to be timing out.,medium,DevOps & CI/CD
725,We're migrating from CircleCI to GitLab CI and need to convert our complex pipeline with multiple conditional steps and artifact dependencies. Can you help me structure the .gitlab-ci.yml file?,medium,DevOps & CI/CD
726,"I'm implementing a Helm chart for our application but I'm unsure how to handle secrets management and configuration drift across dev, staging, and production environments. What's the recommended approach?",medium,DevOps & CI/CD
727,Our Docker image builds are failing intermittently because network requests during the build process are timing out. How do I make our build more resilient with proper retry logic in the Dockerfile?,medium,DevOps & CI/CD
728,"I need to set up monitoring and alerting for our CI/CD pipeline itself - things like job duration trends, failure rates, and resource utilization. What metrics should I track and how do I expose them?",medium,DevOps & CI/CD
729,We're running into issues with our Kubernetes network policies blocking legitimate traffic between services. How would you approach debugging network policy rules and tracing packet flow?,medium,DevOps & CI/CD
730,"I need to implement infrastructure as code for our AWS ECS service with proper auto-scaling, load balancing, and CloudWatch logging. Should I use Terraform, CDK, or CloudFormation and why?",medium,DevOps & CI/CD
731,"Our deployment pipeline needs to validate that all environment variables are set correctly before deploying, and generate a report of configuration drift. How would you implement this as a pre-deployment check?",medium,DevOps & CI/CD
732,"I'm trying to set up cross-region disaster recovery for our RDS database with automated failover, but we're seeing replication lag during peak traffic. What are the configuration adjustments we should consider?",medium,DevOps & CI/CD
733,We need to implement policy as code using OPA/Conftest to enforce security standards across our Kubernetes manifests in the CI pipeline. Can you show me how to set up admission policies that validate images and resource limits?,medium,DevOps & CI/CD
734,I need to debug why our Istio service mesh traffic management rules aren't routing requests correctly between versions. The traffic splits seem to be ignored and all traffic goes to the primary service.,medium,DevOps & CI/CD
735,We're implementing a multi-tenant deployment strategy where each customer gets their own isolated environment provisioned automatically. How would you design this infrastructure and CI/CD pipeline?,medium,DevOps & CI/CD
736,I'm setting up automated Terraform deployments with state management and need to implement a policy to prevent direct modifications to production infrastructure - everything should go through a tagged Git workflow with required code review. How do I lock down state files and enforce approval gates?,medium,DevOps & CI/CD
737,Our Ansible playbooks are idempotent in dev but occasionally fail in production due to timing issues with service startup ordering. Can you help me implement proper health checks and synchronization points between dependent services?,medium,DevOps & CI/CD
738,We're building a self-healing infrastructure system that automatically detects and remediates common failure scenarios like out-of-memory pods or stuck database connections. What's the best way to implement this with custom operators in Kubernetes?,medium,DevOps & CI/CD
739,I need to optimize our Docker layer caching strategy since rebuilds are taking 12+ minutes even for small code changes. How do I restructure the Dockerfile to maximize cache hits without sacrificing security scanning?,medium,DevOps & CI/CD
740,"Our Vault instance is becoming a bottleneck during deployments when we have 50+ services requesting credentials simultaneously. Should I implement token caching, increase database connections, or restructure our auth backend?",medium,DevOps & CI/CD
741,I'm debugging intermittent deployment failures where services fail to start because dependencies aren't ready yet. The startup order is random even with init containers - how do I implement robust service discovery and retry logic?,medium,DevOps & CI/CD
742,We need to implement automated rollback detection that triggers when application error rates spike above 2% within 5 minutes of deployment. Should this be built into the deployment tool or as a separate monitoring-triggered workflow?,medium,DevOps & CI/CD
743,I'm trying to set up proper log aggregation from our microservices running on both Kubernetes and EC2 instances with centralized analysis for security events. What's your recommendation for a multi-cluster log pipeline?,medium,DevOps & CI/CD
744,"Our organization needs to audit every change made to production infrastructure and maintain an immutable changelog with approval records. How would you implement this with Git, signed commits, and comprehensive logging?",medium,DevOps & CI/CD
745,I need to implement rate limiting and backpressure handling in our deployment pipeline so we don't overwhelm the API servers when deploying to 200+ nodes simultaneously. What queueing strategy would you use?,medium,DevOps & CI/CD
746,We're experiencing cold start latency issues when scaling our Lambda functions from zero and need to implement provisioned concurrency with predictive scaling. How do I balance cost and performance?,medium,DevOps & CI/CD
747,"I'm setting up multi-region failover for our microservices with eventual consistency and need to detect and resolve conflicts automatically. Should I use event sourcing, CRDTs, or implement a custom consensus mechanism?",medium,DevOps & CI/CD
748,Our CI/CD pipeline needs to generate and validate dependency license compliance reports before deploying to ensure we're not violating open source agreements. How should I integrate this as a mandatory gate?,medium,DevOps & CI/CD
749,I need to implement chaos engineering tests that automatically inject failures into our staging environment during non-peak hours to validate our resilience patterns. Which tools integrate best with our current setup?,medium,DevOps & CI/CD
750,We're migrating from a monolithic deployment to microservices and need to implement proper service versioning and backward compatibility checks in the CI pipeline. How do I automate API contract testing?,medium,DevOps & CI/CD
751,I'm trying to reduce our infrastructure costs by implementing spot instance interruption handling with graceful drains and automatic migration. What's the cleanest way to do this without breaking active connections?,medium,DevOps & CI/CD
752,Our release process requires coordinating deployments across 5 different services with specific ordering and rollback capabilities if any step fails. How would you implement an orchestration framework for this without adding too much complexity?,medium,DevOps & CI/CD
753,"Design a microservice architecture for a real-time notification system that needs to handle millions of events per minute with guaranteed delivery. I need to decide between using a message queue like RabbitMQ vs Kafka, and how to structure the services for scalability.",medium,system design & architecture
754,I'm getting N+1 query issues in my Django REST API when fetching nested relationships. How should I implement efficient batch loading or prefetch_related strategies to reduce database queries from 500+ down to a reasonable number?,medium,system design & architecture
755,"We need to implement a distributed cache layer using Redis for our e-commerce platform. What's the best approach for cache invalidation patterns, TTL strategies, and handling cache stampede when dealing with hot items?",medium,system design & architecture
756,"Design an authentication system that supports OAuth2, JWT refresh tokens, and multi-factor authentication while maintaining backward compatibility with existing API consumers. How should I structure the token storage and rotation?",medium,system design & architecture
757,"I'm building a rate limiter for an API that needs to support per-user, per-IP, and per-endpoint quotas with different tiers. Should I use a sliding window or token bucket algorithm, and how do I implement this efficiently at scale?",medium,system design & architecture
758,"Our PostgreSQL database is hitting performance bottlenecks with a large table (100M+ rows) that requires frequent full-table scans. Should I implement table partitioning, add more indexes, or denormalize certain columns? What's the best approach for our specific use case?",medium,system design & architecture
759,I need to design an event sourcing system for our financial transactions where we need to maintain an immutable audit log while still enabling quick read access. How should I structure the event store and implement CQRS?,medium,system design & architecture
760,"We're experiencing memory leaks in our Node.js service. How do I profile heap dumps to identify the leak sources, and what are some common patterns in async code that cause memory to not be garbage collected?",medium,system design & architecture
761,"Design a pub/sub event system that allows different microservices to communicate while avoiding tight coupling. Should we use a message broker with topics and subscriptions, and how do we handle dead letter queues for failed processing?",medium,system design & architecture
762,"I'm trying to optimize a GraphQL query that's causing exponential database load due to deeply nested resolvers. What strategies can I use like query complexity analysis, depth limiting, or batch data loading to prevent abuse?",medium,system design & architecture
763,"Our search functionality needs to support full-text search, faceted filtering, and relevance ranking on millions of documents. Should we implement Elasticsearch, Solr, or stick with database-level FTS, and what are the tradeoffs?",medium,system design & architecture
764,"I need to implement a saga pattern for distributed transactions across multiple services. How do I handle transaction coordination, compensating transactions on failure, and ensure consistency without using a traditional ACID database?",medium,system design & architecture
765,"We're redesigning our data pipeline to handle streaming analytics. Should we use Kafka with Spark Streaming, Apache Flink, or Beam? What are the considerations for exactly-once semantics and state management?",medium,system design & architecture
766,I'm debugging intermittent timeout issues in our API that only occur under high load. How should I approach this using distributed tracing with tools like Jaeger or Datadog to identify bottlenecks in the request chain?,medium,system design & architecture
767,"Design a load balancing strategy for our Kubernetes cluster that intelligently routes requests based on service capacity, latency metrics, and request characteristics. How do I implement this with custom algorithms beyond round-robin?",medium,system design & architecture
768,We need to implement soft deletes across our application while maintaining referential integrity and query performance. What's the cleanest way to do this without polluting all queries with is_deleted filters?,medium,system design & architecture
769,"I'm working on a feature where we need to process millions of webhook callbacks reliably. How should I design the retry logic, idempotency keys, and storage strategy to ensure no events are lost or duplicated?",medium,system design & architecture
770,"Our system needs to support multi-tenancy where each tenant has isolated data and different performance characteristics. Should we use separate databases per tenant, shared database with row-level security, or something hybrid?",medium,system design & architecture
771,"I'm optimizing our background job processing system that currently uses Celery. We're seeing queue backlogs during peak hours - should we implement job prioritization, dynamic worker scaling, or redesign the job architecture?",medium,system design & architecture
772,"Design an API versioning strategy that allows us to maintain backward compatibility while evolving our API. Should we use URL paths, headers, or accept media types, and how do we handle deprecation?",medium,system design & architecture
773,"We're building a real-time collaborative editing system and need to handle concurrent edits from multiple users. Should we implement operational transformation or CRDT for conflict resolution, and what are the consistency guarantees?",medium,system design & architecture
774,"I need to implement a circuit breaker pattern for our microservice calls to prevent cascading failures. How do I determine the right threshold, timeout values, and fallback strategies for different service dependencies?",medium,system design & architecture
775,"Our analytical database is slow for ad-hoc queries on fact tables with billions of rows. Should we implement columnar storage, materialized views, or a data warehouse solution like Snowflake to improve query performance?",medium,system design & architecture
776,"Design a configuration management system that allows us to deploy feature flags and configuration changes without restarting services. How should we handle consistency, caching strategies, and rollback capabilities?",medium,system design & architecture
777,"I'm implementing end-to-end encryption for sensitive user data in transit and at rest. What are the best practices for key management, rotation, and ensuring we don't compromise performance while maintaining strong security?",medium,system design & architecture
778,"We need to implement database connection pooling in our Python backend to handle 10k concurrent requests, but we're seeing connection exhaustion and slow query execution under load. Should I use pgBouncer, implement application-level pooling with sqlalchemy, or adjust the database server limits?",medium,system design & architecture
779,"I'm building a recommendation engine that needs to score millions of items in real-time for personalized user feeds. What's the best approach - collaborative filtering with approximate nearest neighbors, vector similarity search, or a hybrid model with incremental training?",medium,system design & architecture
780,"Our mobile app syncs data with a backend service but we're seeing inconsistencies when users go offline and come back online with stale updates. How should I architect the sync protocol to handle conflicts, local-first persistence, and eventual consistency?",medium,system design & architecture
781,"I need to design a time-series database schema for storing metrics from thousands of servers with high write throughput and query patterns that need both raw data and aggregated statistics. Should I use InfluxDB, TimescaleDB, or implement a custom rollup strategy?",medium,system design & architecture
782,We're building an ordered event processing system where events must be processed sequentially per partition key but we need horizontal scalability. How do I implement this with Kafka consumer groups and what's the right strategy for handling slow downstream consumers?,medium,system design & architecture
783,"I'm debugging a memory-inefficient caching layer in our web scraper that processes thousands of pages daily. We're keeping too much data in memory - what are some strategies for implementing LRU eviction, tier-based caching, or spilling to disk?",medium,system design & architecture
784,"Design a backup and disaster recovery strategy for our critical PostgreSQL database that supports point-in-time recovery, handles massive datasets efficiently, and maintains geo-redundancy across regions. What tools should we use - WAL archiving, pg_dump, or specialized solutions?",medium,system design & architecture
785,"We have a legacy monolithic application and want to migrate incrementally to microservices. How should I handle data consistency, transaction boundaries, and shared database access during the transition without breaking existing functionality?",medium,system design & architecture
786,"I need to implement request deduplication across multiple API gateway instances to prevent double-charging customers when requests are retried. What's a reliable approach using idempotency keys, distributed state, and concurrency handling?",medium,system design & architecture
787,"Our platform processes financial transactions where audit trail immutability is critical, but we also need to comply with data retention policies and regulatory right-to-be-forgotten requirements. How do I design this without breaking immutability guarantees?",medium,system design & architecture
788,"I'm implementing a content delivery optimization system where we need to serve different media formats and resolutions dynamically. Should I use on-the-fly transcoding with heavy caching, pre-generate variants, or leverage a CDN with image processing capabilities?",medium,system design & architecture
789,"We're experiencing database replication lag between primary and replicas causing stale reads in our analytics queries. What strategies can I implement - consistent read routing, read-after-write consistency checks, or query routing logic?",medium,system design & architecture
790,"Design a workflow orchestration system for complex business processes that span multiple microservices with conditional branching, error recovery, and long-running operations. Should I build on top of a framework like Temporal or implement a custom state machine?",medium,system design & architecture
791,"I need to implement permission checks efficiently across an API with hundreds of endpoints and complex role-based access control rules. What's the best architecture - centralized policy engine, distributed permission checks, or attribute-based access control?",medium,system design & architecture
792,"Our file upload system is becoming a bottleneck with single-threaded processing. How should I architect resumable uploads, multipart parallel uploads, and efficient storage with deduplication for duplicate files?",medium,system design & architecture
793,"I'm optimizing query performance on a denormalized data warehouse where we need to efficiently aggregate data across multiple dimension tables. Should I implement materialized views, pre-computed cubes, or optimize query execution with better indexing strategies?",medium,system design & architecture
794,"We need to implement graceful degradation in our system where non-critical services can fail without affecting core functionality. How should I architect feature isolation, dependency graphs, and fallback mechanisms to maintain service availability?",medium,system design & architecture
795,I have a flaky integration test that passes locally but fails intermittently in CI/CD. It's testing an async payment processing workflow that involves mocking external APIs. Can you help me identify potential race conditions or timing issues and suggest a better approach to make the test more reliable?,medium,testing & QA
796,We're getting false positives in our end-to-end test suite because of slow page loads in the staging environment. How can I implement a smart wait strategy that detects when the DOM is actually ready instead of using fixed sleep durations?,medium,testing & QA
797,"Our database performance tests are taking too long to run. We have 50k test records being inserted, and I need to optimize the setup phase without sacrificing data integrity validation. What's the best approach—fixtures, factories, or batch loading?",medium,testing & QA
798,"I need to write unit tests for a complex state machine that handles order fulfillment with multiple edge cases and concurrent state transitions. Should I use parameterized tests, and how do I ensure I'm covering all the invalid state transitions?",medium,testing & QA
799,We're struggling with test data maintenance—our test database has become a mess of interdependent records that break when we update schema. How can I refactor our test data strategy to make it more maintainable and independent?,medium,testing & QA
800,"I'm debugging why our snapshot tests keep breaking on unrelated CSS changes. We're using Jest snapshots for component rendering, but developers find them annoying to update. What are better alternatives that are more resilient?",medium,testing & QA
801,"Our load tests show the API degrades at 5k concurrent users, but I can't reproduce the issue locally. How should I structure a realistic load test scenario that accounts for network latency and variable response times?",medium,testing & QA
802,I need to set up contract testing between our microservices but we have inconsistent API versioning. What's the best way to define and validate contracts without creating brittle tests that fail on every minor version bump?,medium,testing & QA
803,"We have a test suite that randomly fails on CI but never locally, and the logs don't show what's different. What debugging techniques and logging strategies should I add to help identify environment-specific issues?",medium,testing & QA
804,"I'm trying to test a real-time WebSocket feature but the mock server keeps timing out. Should I use a real WebSocket server in tests, or is there a better way to handle this with controlled timing?",medium,testing & QA
805,"Our regression test suite takes 45 minutes to run, which is blocking our deployment pipeline. How should I prioritize and split tests into fast feedback loops (smoke tests) vs comprehensive validation without missing critical bugs?",medium,testing & QA
806,I need to create deterministic tests for timestamp-dependent features without hardcoding dates everywhere. What's the cleanest way to mock time in tests so they're both reliable and maintainable?,medium,testing & QA
807,"We're testing a feature that depends on third-party authentication (OAuth), but the provider's sandbox is unreliable. Should I mock the entire OAuth flow or use recorded API responses, and what are the tradeoffs?",medium,testing & QA
808,"Our test coverage report shows 90% code coverage but we keep finding bugs in production. How do I improve test quality—are we testing the right things, and what metrics beyond coverage should I track?",medium,testing & QA
809,I have a test that validates complex JSON transformations with deeply nested structures. Writing assertions for every field is tedious and brittle. What's a better approach to assert on JSON structures that's both readable and maintainable?,medium,testing & QA
810,"We need to validate error handling across our API endpoints, but manually testing each error scenario is tedious. How can I write parameterized tests that systematically check all HTTP status codes and error responses?",medium,testing & QA
811,Our integration tests interact with a shared test database that gets corrupted when tests run in parallel. How do I properly isolate tests or manage test data so they can safely execute concurrently without flakiness?,medium,testing & QA
